Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Ilguma_new,Platuma,Platuma_new,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,KryptiesTipas,KryptiesPavadinimas,ReisoIdGTFS
Autobusai,57,24044961215,7021,25259980,25.25998,54735382,54.735382,21,58,735,67,44497,KWZ,A>B,Bukiškis,A57-01-1-250422-ab-1220
Autobusai,57,24044971151,7015,25240995,25.240995,54739781,54.739781,21,334,711,0,44497,KWZ,B>A,Fabijoniškės,A57-02-1-250422-ab-1240
Autobusai,57,24044981220,7042,25203448,25.203448,54762617,54.762617,40,6,740,40,44495,KWZ,B>A,Fabijoniškės,A57-03-1-250422-ba-1220
Autobusai,69,24077131114,4520,25221549,25.221549,54666845,54.666845,0,104,674,0,44494,KWZ,A>B,Šiltnamių g.,A69-04-1-250425-b1a1-1220
Autobusai,69,24077141156,973,25266470,25.26647,54698363,54.698363,0,100,716,-23,44492,Z,B>A,Bajorai,A69-01-1-250425-ba-1200
Autobusai,69,24077161141,944,25271632,25.271632,54698035,54.698035,0,200,701,327,44497,Z,A>B,Šiltnamių g.,A69-03-1-250425-ab-1140
Autobusai,69,24077171201,722,25285214,25.285214,54721357,54.721357,17,136,721,-23,44496,Z,A>B,Šiltnamių g.,A69-05-1-250425-ab-1200
Autobusai,69,24077181105,4523,25256714,25.256714,54757696,54.757696,0,124,665,0,44494,KWZ,B1>A1,Bajorai,A69-06-1-250425-ab-1220
Autobusai,49,24077201218,4505,25212389,25.212389,54661511,54.661511,41,16,738,-10,44488,KWZ,B>A,Ateities g.,A49-01-1-250425-ba-1220
Autobusai,49,24077211122,4524,25266451,25.266451,54736233,54.736233,0,324,682,0,44491,KWZ,B>A,Ateities g.,A49-05-1-250425-ab-1230
Autobusai,49,24077231141,4502,25212350,25.21235,54677769,54.677769,0,254,701,12,44495,KWZ,A>B,Bukčiai,A49-02-1-250425-ab-1140
Autobusai,49,24077241207,4509,25283831,25.283831,54704363,54.704363,18,190,727,68,44499,KWZ,A>B,Bukčiai,A49-04-1-250425-ab-1210
Autobusai,49,24077261145,4519,25279075,25.279075,54703998,54.703998,16,98,705,-24,44497,KWZ,B>A,Ateities g.,A49-07-1-250425-ba-1150
Autobusai,1G,24078061212,4195,25278752,25.278752,54733796,54.733796,38,172,732,63,44499,KWNZD,B>A,Stotis,A1G-11-1-250425-ba-1210
Autobusai,1G,24078071016,4193,25295071,25.295071,54719685,54.719685,0,32,616,,44499,KWNZD,B1>D,Autobusų parkas (Verkių g.),A1G-04-1-250425-b1d-1020
Autobusai,1G,24078081205,4163,25286661,25.286661,54714702,54.714702,18,178,725,94,44495,KWZD,B>A,Stotis,A1G-09-1-250425-ba-1210
Autobusai,1G,24078111219,4649,25280008,25.280008,54752612,54.752612,3,186,739,-7,44491,Z,B>A,Stotis,A1G-13-1-250425-ba-1220
Autobusai,1G,24078121149,4156,25276769,25.276769,54739906,54.739906,15,352,709,-14,44497,KWZD,A>B,Santariškės,A1G-14-1-250425-ab-1150
Autobusai,1G,24078141140,4159,25280795,25.280795,54755798,54.755798,33,8,700,297,44499,KWZD,A>B,Santariškės,A1G-15-1-250425-ab-1140
Autobusai,1G,24078160948,4644,25294258,25.294258,54720941,54.720941,0,78,588,,44498,Z,B1>D,Autobusų parkas (Verkių g.),A1G-02-1-250425-b1d-0950
Autobusai,1G,24078171157,4176,25285496,25.285496,54707938,54.707938,8,4,717,87,44499,KWNZD,A>B,Santariškės,A1G-01-1-250425-ab-1200
Autobusai,1G,24078181212,4187,25277383,25.277383,54682348,54.682348,3,4,732,71,44491,KWNZD,A>B,Santariškės,A1G-05-1-250425-ab-1210
Autobusai,1G,24078191219,4641,25282886,25.282886,54671915,54.671915,14,330,739,28,44496,Z,A>B,Santariškės,A1G-08-1-250425-ab-1220
Autobusai,1G,24078201144,4196,25282651,25.282651,54672259,54.672259,0,208,704,0,44499,KWNZD,B>A,Stotis,A1G-07-1-250425-ab-1230
Autobusai,1G,24078211158,4198,25281922,25.281922,54696990,54.69699,15,192,718,11,44500,KWNZD,B>A,Stotis,A1G-03-1-250425-ba-1200
